Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P392           ,squid,2.63,0.03,0.01,0.02,3.3,0.08,0.01,0.07,0.05,0.03,0.31,0.03,0,0.86,23.16,0.16,0.08,1.05,0.15,0.03,0.02,0.04,0.02,0.14,0.55,0.12,0.05,0,0.51,0.12,4.5,0.09,0.22,1.96,2.08,0.13,0.01,0,0.23,0.05,0.09,0.04,0.1,0.02,0.29,0.02,0.21,1.11,3.12,0.1,0.02,0.24,0.02,1.26,0.39,0.13,17.96,0.1,0.16,0.03,0.01,0.33,0.04,0.35,0.03,0.7,32.75,0.22
P393           ,squid,2.15,0.02,0.01,0.02,2.63,0.05,0.01,0.08,0.06,0.03,0.37,0.05,0,0.63,24.45,0.25,0.07,1.09,0.15,0.03,0.02,0.05,0,0.17,0.57,0.12,0.08,0,0.54,0.17,3.21,0.6,0.1,2.27,2.32,0.13,0.01,0,0.27,0.05,0.08,0.05,0.15,0.03,0.36,0.02,0.19,0.37,2.46,0.09,0.02,0.28,0.02,1.34,0.46,0.13,17.27,0.07,0.23,0.04,0.01,0.34,0.03,0.39,0.02,0.66,34.11,0.23
P394           ,squid,2.22,0.02,0.01,0.02,2.67,0.06,0.01,0.06,0.06,0.03,0.39,0.04,0,0.63,24.63,0.19,0.07,1.42,0.16,0.03,0.03,0.05,0.01,0.23,0.55,0.16,0.07,0,0.49,0.2,3.21,0.44,0.09,2.17,2.3,0.12,0.01,0,0.25,0.06,0.09,0.03,0.13,0.04,0.38,0.01,0.19,0.3,2.54,0.09,0.02,0.26,0.03,1.36,0.37,0.17,18.2,0.07,0.25,0.05,0.02,0.34,0.06,0.35,0.01,0.69,32.86,0.26
P395           ,squid,2.04,0.03,0,0.01,2.56,0.08,0.01,0.08,0.05,0.03,0.34,0.04,0,0.52,24.68,0.22,0.07,1.13,0.15,0.03,0.02,0.04,0.01,0.13,0.53,0.13,0.05,0,0.47,0.12,3.29,0.71,0.09,2.01,2.05,0.13,0.01,0,0.19,0.06,0.07,0.03,0.08,0.04,0.26,0.02,0.17,0.32,2.5,0.08,0.02,0.27,0.02,1.07,0.43,0.14,17.68,0.09,0.27,0.04,0.01,0.32,0.05,0.34,0,0.74,34.73,0.26
P396           ,squid,2.26,0.02,0.01,0.02,2.42,0.07,0.01,0.05,0.05,0.03,0.34,0.03,0,0.73,24.2,0.22,0.07,1.31,0.14,0.03,0.03,0.05,0.02,0.22,0.55,0.15,0.07,0,0.53,0.21,3.43,0.57,0.1,2.2,2.33,0.12,0.01,0,0.31,0.06,0.08,0.04,0.14,0.04,0.39,0.02,0.2,0.43,2.65,0.1,0.02,0.3,0.02,1.37,0.45,0.17,17.9,0.08,0.23,0.06,0.01,0.36,0.06,0.36,0.02,0.78,32.84,0.24
P397           ,squid,2.12,0.03,0.01,0.02,3.37,0.06,0.01,0.09,0.04,0.02,0.31,0.02,0,0.76,23.29,0.17,0.09,1.15,0.15,0.02,0.02,0.04,0.02,0.16,0.59,0.12,0.07,0,0.45,0.13,4.5,0.18,0.25,2.18,2.68,0.16,0,0,0.21,0.05,0.1,0.04,0.11,0.03,0.34,0.03,0.22,1.12,3.21,0.13,0.02,0.24,0.02,1.41,0.39,0.17,17.84,0.1,0.2,0.04,0.01,0.29,0.05,0.36,0.05,0.69,31.28,0.21
P398           ,squid,2.58,0.02,0.01,0.02,3.96,0.07,0.01,0.08,0.05,0.02,0.28,0.03,0,0.68,22.94,0.17,0.08,0.96,0.13,0.02,0.02,0.04,0.02,0.14,0.55,0.1,0.05,0,0.43,0.11,5.49,0.18,0.54,1.97,2.28,0.15,0,0,0.2,0.05,0.1,0.03,0.09,0.03,0.26,0.02,0.22,1.72,2.94,0.11,0.03,0.27,0.03,1.46,0.29,0.16,16.66,0.09,0.14,0.03,0.01,0.34,0.05,0.37,0.01,0.71,31.94,0.17
P399           ,squid,1.92,0.02,0.01,0.01,2.38,0.04,0.01,0.07,0.05,0.03,0.35,0.02,0,0.63,24.68,0.22,0.06,0.88,0.15,0.04,0.02,0.04,0,0.12,0.58,0.09,0.06,0,0.6,0.12,3.39,0.85,0.09,1.96,2.27,0.12,0.01,0,0.24,0.05,0.08,0.03,0.1,0.02,0.25,0.01,0.2,0.38,2.42,0.09,0.03,0.33,0.02,1.4,0.49,0.12,16.85,0.06,0.22,0.05,0.02,0.3,0.06,0.39,0,0.61,35.17,0.17
P400           ,squid,2.49,0.04,0,0.01,3.23,0.05,0.01,0.08,0.04,0.02,0.3,0.02,0,0.72,24.14,0.14,0.07,0.81,0.12,0.02,0.02,0.04,0,0.1,0.55,0.08,0.05,0,0.43,0.09,4.52,0.13,0.29,2.1,2.16,0.11,0,0,0.19,0.04,0.09,0.04,0.08,0.02,0.21,0.02,0.21,1.1,2.99,0.1,0.02,0.23,0.01,1.43,0.34,0.15,16.71,0.06,0.2,0.04,0.01,0.32,0.05,0.38,0.01,0.6,33.75,0.21
P401           ,squid,2.15,0.02,0.01,0.02,2.94,0.07,0.01,0.07,0.06,0.03,0.38,0,0,0.65,23.8,0.26,0.07,1.6,0.15,0.03,0.03,0.06,0.02,0.27,0.56,0.2,0.1,0,0.54,0.24,3.36,0.64,0.09,2.28,2.43,0.12,0.01,0,0.33,0.07,0.09,0.04,0.18,0.05,0.54,0.02,0.2,0.39,2.33,0.1,0.02,0.33,0.02,1.22,0.4,0.19,18.1,0.09,0.19,0.05,0.01,0.31,0.05,0.35,0.02,0.68,32.4,0.21
