Lab Code,Species,lipid,c12.0,c13.0,Iso14,c14.0,c14.1w9,c14.1w7,c14.1w5,Iso15,Anti15,c15.0,c15.1w8,c15.1w6,Iso16,c16.0,c16.1w11,c16.1w9,c16.1w7,c7Me16.0,c16.1w5,c16.2w6,Iso17,c16.2w4,c16.3w6,c17.0,c16.3w4,c17.1,c16.3w1,c16.4w3,c16.4w1,c18.0,c18.1w13,c18.1w11,c18.1w9,c18.1w7,c18.1w5,"c18.2d5,11",c18.2w7,c18.2w6,c18.2w4,c18.3w6,c18.3w4,c18.3w3,c18.3w1,c18.4w3,c18.4w1,c20.0,c20.1w11,c20.1w9,c20.1w7,c20.2w9,c20.2w6,c20.3w6,c20.4w6,c20.3w3,c20.4w3,c20.5w3,c22.1w11,c22.1w9,c22.1w7,c22.2w6,c21.5w3,c22.4w6,c22.5w6,c22.4w3,c22.5w3,c22.6w3,c24.1w9
P444           ,surfsmelt_lg,5.3,0.13,0.13,0.07,6.41,0.1,0.06,0.07,0.37,0.21,0.94,0.02,0.02,0.21,13.39,0.86,0.44,5.86,0.13,0.22,0.07,0.26,0.58,0.42,0.51,0.33,0.41,0,0.14,0.35,3.78,0.09,0.13,13.9,3.69,0.26,0.09,0.05,0.82,0.2,0.3,0.07,0.79,0.25,1.23,0.04,0.22,0.11,0.47,2.18,0.27,0.37,0.1,1.56,0.13,0.42,15.22,0.1,1.2,0.72,0.04,0.4,0.14,0.55,0.03,1.18,15.96,0.39
P445           ,surfsmelt_lg,2.45,0.05,0.11,0.07,4.93,0.1,0.08,0.04,0.39,0.14,0.95,0.02,0.03,0.26,13.04,1.41,0.48,4.62,0.13,0.24,0.06,0.26,0.82,0.37,0.59,0.25,0.32,0,0.26,0.18,4.57,0.09,0.13,11.43,4.51,0.21,0.15,0.05,0.93,0.17,0.33,0.07,0.81,0.33,0.85,0.02,0.22,0.23,0.53,1.9,0.45,0.33,0.12,3.08,0.14,0.35,13.18,0.1,0.62,0.62,0.03,0.31,0.24,1.09,0.03,1.63,19.58,0.47
P406           ,surfsmelt_lg,1.33,0.06,0.04,0.02,2.68,0.15,0.04,0.02,0.21,0.14,0.48,0.01,0.01,0.29,17.03,0.83,0.28,3.24,0.14,0.22,0.05,0.19,0.52,0.34,0.29,0.21,0.2,0,0.36,0.21,4.4,0.08,0.12,7.33,3.29,0.17,0.02,0.05,0.73,0.17,0.15,0.05,0.61,0.23,0.98,0.08,0.15,0.38,0.36,0.81,0.12,0.32,0.07,1.88,0.08,0.46,16.26,0.38,0.52,0.16,0.06,0.37,0.13,0.52,0.04,1.51,27.76,1.01
P407           ,surfsmelt_lg,1.23,0.02,0.02,0.02,1.44,0.13,0.02,0.01,0.15,0.34,0.49,0,0.01,0.31,17.08,0.49,0.24,2.16,0.16,0.18,0.02,0.32,0.46,0.16,0.31,0.11,0.19,0,0.47,0.08,4.85,0.09,0.1,5.47,2.71,0.12,0.02,0.03,0.62,0.13,0.16,0.04,0.55,0.2,0.75,0.06,0.13,0.35,0.46,0.32,0.19,0.27,0.05,1.81,0.08,0.4,16.91,0.28,0.21,0.12,0.06,0.29,0.16,0.42,0.02,1.52,33.52,1.2
P408           ,surfsmelt_lg,3.88,0.08,0.07,0.05,5.43,0.16,0.06,0.06,0.3,0.19,0.68,0.02,0.02,0.18,16.26,0.86,0.3,5.87,0.15,0.15,0.11,0.23,0.43,0.82,0.38,0.53,0.22,0,0.19,0.87,3.66,0.15,0.21,7.69,3.42,0.24,0.04,0.07,1.1,0.24,0.21,0.07,0.97,0.2,2.36,0.09,0.17,1.07,1.31,1.02,0.06,0.32,0.08,1.54,0.11,0.48,15.81,1.35,0.83,0.23,0.05,0.59,0.15,0.44,0.06,1.4,17.13,0.55
P409           ,surfsmelt_lg,0.96,0.02,0.03,0.04,1.63,0.11,0.01,0.02,0.12,0.04,0.42,0.03,0,0.32,17.14,0.7,0.22,1.47,0.14,0.26,0.02,0.12,0.69,0.1,0.36,0.11,0.16,0,0.31,0.28,4.76,0.07,0.2,5.54,2.59,0.14,0.02,0,0.61,0.13,0.15,0.05,0.44,0.28,0.47,0.06,0.13,0.6,0.66,0.51,0.03,0.28,0.06,1.31,0.08,0.16,14.48,0.7,0.45,0.13,0,0.23,0.16,0.72,0.04,1.4,36.34,1.32
P410           ,surfsmelt_lg,1.01,0.02,0.03,0.02,1.53,0.15,0.02,0.01,0.18,0.13,0.46,0.02,0,0.33,17.17,0.59,0.3,2.27,0.14,0.2,0.02,0.19,0.53,0.14,0.3,0.11,0.18,0,0.63,0.09,4.52,0.07,0.08,6.75,2.83,0.12,0.02,0.03,0.53,0.13,0.15,0.04,0.42,0.22,0.68,0.06,0.16,0.15,0.48,0.36,0.02,0.25,0.06,1.89,0.06,0.36,16.51,0.17,0.22,0.11,0.04,0.29,0.17,0.49,0.01,1.54,32.8,1.55
P411           ,surfsmelt_lg,1.69,0.09,0.06,0.04,4.49,0.18,0.04,0.04,0.24,0.43,0.65,0.02,0.01,0.22,15.02,0.93,0.26,3.03,0.2,0.24,0.06,0.26,0.67,0.33,0.49,0.27,0.19,0,0.13,0.3,4.66,0.12,0.36,7.41,2.62,0.22,0.03,0.04,0.88,0.19,0.21,0.07,0.77,0.28,1.04,0.08,0.21,2.02,1.87,1.44,0.12,0.36,0.08,2.09,0.13,0.43,12.46,3.24,1.8,0.32,0.09,0.36,0.23,0.64,0.06,1.6,21.77,0.89
P412           ,surfsmelt_lg,3.4,0.06,0.07,0.05,5.59,0.18,0.05,0.06,0.32,0.27,0.69,0.02,0.02,0.19,15.18,0.81,0.32,6.31,0.14,0.13,0.08,0.27,0.45,0.56,0.39,0.38,0.15,0,0.19,0.54,3.65,0.16,0.44,9.25,3.11,0.27,0.09,0.06,1.2,0.22,0.21,0.07,0.88,0.21,1.84,0.1,0.17,1.19,2.29,1,0.1,0.32,0.08,1.26,0.13,0.49,14.21,2.27,0.73,0.19,0.04,0.46,0.12,0.4,0.07,1.43,17.38,0.54
P413           ,surfsmelt_lg,2.17,0.04,0.04,0.04,3.56,0.11,0.07,0.03,0.28,0.15,0.57,0.02,0.02,0.24,16.88,1.17,0.25,4.5,0.14,0.11,0.07,0.18,0.51,0.59,0.35,0.32,0.19,0,0.1,0.48,4.28,0.11,0.07,6.62,3.92,0.2,0.03,0.07,0.76,0.25,0.18,0.07,0.58,0.22,1.34,0.1,0.16,0.33,0.63,1.36,0.13,0.28,0.08,1.99,0.09,0.36,17.76,0.27,0.67,0.23,0.03,0.49,0.14,0.52,0.04,1.52,22.65,0.58
P414           ,surfsmelt_lg,2.07,0.05,0.05,0.05,3.73,0.16,0.05,0.05,0.25,0.37,0.65,0.04,0.01,0.23,15.21,0.88,0.29,3.45,0.16,0.16,0.04,0.29,0.64,0.32,0.46,0.27,0.22,0,0.18,0.31,4.9,0.13,0.18,7.36,3.34,0.21,0.04,0.05,1.04,0.17,0.23,0.07,0.7,0.27,1.11,0.06,0.21,0.92,1.02,1.21,0.05,0.37,0.1,1.87,0.1,0.42,14.66,0.77,0.76,0.26,0.02,0.39,0.22,0.7,0.06,1.63,25.16,0.78
P415           ,surfsmelt_lg,4.53,0.16,0.1,0.04,5.65,0.12,0.04,0.03,0.23,0.12,0.67,0.02,0.01,0.19,14.32,0.93,0.25,3.51,0.11,0.15,0.05,0.17,0.61,0.47,0.45,0.26,0.24,0,0.11,0.38,4.45,0.13,0.19,10.55,3.21,0.21,0.06,0.06,0.87,0.25,0.2,0.07,0.59,0.26,1.18,0.07,0.2,0.81,1.22,2.42,0.07,0.33,0.09,1.66,0.13,0.44,15.99,1.22,2.86,0.5,0.05,0.52,0.14,0.5,0.05,1.38,17.24,0.52
P426           ,surfsmelt_lg,3.06,0.15,0.09,0.03,5.4,0.09,0.03,0.03,0.23,0.12,0.62,0.02,0.01,0.12,15.26,1.07,0.24,4.04,0.1,0.13,0.08,0.19,0.47,0.5,0.44,0.24,0.21,0,0.1,0.43,4.8,0.1,0.06,9.97,3.54,0.19,0.05,0.06,0.58,0.27,0.18,0.06,0.37,0.22,0.87,0.08,0.15,0.12,0.85,2.42,0.15,0.24,0.07,1.79,0.08,0.35,17.56,0.22,2.66,0.43,0.03,0.5,0.14,0.56,0.03,1.24,18.28,0.43
P427           ,surfsmelt_lg,1.39,0.09,0.05,0.04,3.87,0.13,0.04,0.02,0.23,0.13,0.54,0.02,0.01,0.2,16.18,0.7,0.22,3.56,0.13,0.16,0.07,0.18,0.53,0.5,0.36,0.25,0.18,0,0.2,0.38,4.61,0.08,0.07,7.85,3.48,0.18,0.04,0.05,0.69,0.2,0.17,0.06,0.47,0.27,0.81,0.05,0.14,0.25,0.69,1.54,0.22,0.25,0.08,1.71,0.07,0.32,17.18,0.21,1.73,0.32,0.03,0.44,0.12,0.47,0.03,1.53,23.96,0.81
P428           ,surfsmelt_lg,2.63,0.2,0.09,0.03,6.13,0.15,0.03,0.03,0.2,0.11,0.59,0.02,0,0.16,15.64,0.94,0.2,3.21,0.1,0.13,0.07,0.18,0.59,0.5,0.42,0.28,0.18,0,0.19,0.47,4.94,0.11,0.1,11.04,3.23,0.2,0.06,0.05,0.7,0.3,0.18,0.08,0.42,0.28,0.79,0.08,0.18,0.35,1.21,2.9,0.05,0.29,0.08,1.41,0.08,0.34,15.03,0.46,3.48,0.54,0.04,0.53,0.12,0.44,0.04,1.48,17.1,0.58
P429           ,surfsmelt_lg,3.47,0.12,0.08,0.04,5.39,0.1,0.04,0.04,0.25,0.11,0.63,0.02,0.01,0.17,15.29,1.18,0.24,4.41,0.12,0.15,0.08,0.2,0.5,0.53,0.43,0.3,0.23,0,0.19,0.47,4.27,0.13,0.19,9.59,3.61,0.23,0.06,0.06,0.78,0.26,0.19,0.07,0.57,0.22,1.24,0.07,0.16,0.7,1.2,2.13,0.06,0.29,0.08,1.8,0.1,0.41,16.73,0.98,2.1,0.43,0.03,0.5,0.13,0.61,0.06,1.4,16.85,0.48
P430           ,surfsmelt_lg,3.36,0.14,0.07,0.04,5.56,0.14,0.04,0.04,0.21,0.11,0.59,0.02,0.01,0.17,15.46,1.03,0.23,3.78,0.12,0.21,0.07,0.19,0.65,0.52,0.45,0.32,0.2,0,0.2,0.56,4.54,0.13,0.18,9.95,3.12,0.22,0.05,0.05,0.88,0.26,0.21,0.08,0.55,0.28,1.17,0.1,0.21,0.97,1.36,1.98,0.06,0.31,0.1,1.83,0.1,0.42,15.22,1.41,2.11,0.39,0.03,0.51,0.16,0.54,0.05,1.65,17.05,0.73
P431           ,surfsmelt_lg,1.87,0.05,0.06,0.06,4.17,0.25,0.07,0.04,0.35,0.41,0.63,0.03,0.02,0.28,16.66,0.69,0.32,4.73,0.13,0.16,0.06,0.27,0.63,0.38,0.37,0.27,0.21,0,0.34,0.35,4.32,0.12,0.11,8.26,2.98,0.21,0.03,0.05,0.8,0.18,0.17,0.07,0.71,0.28,1.32,0.08,0.13,0.32,1.04,0.7,0.38,0.26,0.07,1.16,0.07,0.35,14.48,0.55,0.59,0.2,0.02,0.39,0.09,0.33,0.04,1.49,24.92,0.87
P432           ,surfsmelt_lg,3.93,0.12,0.06,0.04,5.72,0.17,0.05,0.05,0.25,0.32,0.67,0.03,0.02,0.16,15.95,1.15,0.26,4.99,0.16,0.08,0.11,0.28,0.57,0.7,0.41,0.43,0.22,0,0.22,0.84,3.98,0.17,0.26,9.39,3.56,0.27,0.05,0.06,0.85,0.3,0.21,0.1,0.63,0.25,1.6,0.14,0.17,1.62,1.28,1.48,0.06,0.29,0.09,1.33,0.12,0.46,16.47,1.74,1.23,0.31,0.03,0.56,0.11,0.43,0.05,1.42,14.61,0.46
P433           ,surfsmelt_lg,2.08,0.06,0.06,0.06,4.7,0.22,0.05,0.04,0.34,0.22,0.61,0.02,0.02,0.21,14.6,0.98,0.28,4.26,0.15,0.11,0.08,0.24,0.71,0.43,0.41,0.36,0.18,0,0.22,0.54,4.31,0.17,0.44,6.66,2.92,0.28,0.05,0.04,0.86,0.18,0.2,0.06,0.59,0.32,1.15,0.08,0.19,2.15,2.55,1.2,0.38,0.29,0.08,1.99,0.07,0.33,13.24,2.83,0.69,0.24,0.03,0.38,0.2,0.64,0.05,1.66,21.71,0.74
P434           ,surfsmelt_lg,1.18,0.03,0.03,0.04,2.03,0.13,0.03,0.01,0.19,0.1,0.47,0.01,0,0.28,16.14,0.61,0.26,2.39,0.14,0.11,0.03,0.15,0.65,0.16,0.35,0.13,0.2,0,0.32,0.11,4.53,0.1,0.19,6.45,2.7,0.16,0.03,0.01,0.86,0.13,0.15,0.05,0.68,0.29,0.81,0.05,0.12,0.32,0.96,0.55,0.44,0.28,0.06,2.2,0.07,0.33,14.8,0.56,0.32,0.12,0.02,0.25,0.18,0.64,0.03,1.54,33.15,0.87
P435           ,surfsmelt_lg,1.46,0.04,0.03,0.03,2.27,0.1,0.02,0.02,0.17,0.16,0.46,0.01,0.01,0.3,16.72,0.67,0.28,2.34,0.14,0.13,0.03,0.18,0.56,0.22,0.35,0.16,0.18,0,0.39,0.14,4.93,0.07,0.09,6.44,3,0.13,0.02,0.03,0.72,0.15,0.16,0.05,0.58,0.24,0.75,0.05,0.13,0.37,0.65,0.73,0.35,0.25,0.07,2.52,0.07,0.3,15.68,0.36,0.49,0.15,0.01,0.28,0.16,0.66,0.04,1.61,30.85,0.89
P416           ,surfsmelt_s,1.11,0.06,0.01,0.02,1.12,0.05,0.01,0,0.04,0.02,0.2,0.02,0,0.47,15.96,0.22,0.44,1.19,0.09,0.07,0,0.06,0.22,0.05,0.27,0.05,0.19,0,0.69,0.71,5.26,0.05,0.06,16.16,3.28,0.14,0,0.03,0.63,0.11,0.12,0.06,0.18,0.11,0.17,0.03,0.14,0.13,0.57,0.24,0.02,0.25,0.08,2.31,0.08,0.27,13.06,0.11,0.11,0.11,0,0.21,0.12,0.29,0.01,2.67,29.48,1.22
P417           ,surfsmelt_s,0.86,0.03,0.01,0.02,1.14,0.04,0.01,0.01,0.09,0.02,0.19,0,0,0.36,15.75,0.32,0.4,1.28,0.09,0.1,0.01,0.08,0.2,0.04,0.26,0.03,0.19,0,0.09,0.62,4.79,0.22,0.12,16.24,3.26,0.16,0,0.01,0.74,0.1,0.11,0.05,0.2,0.14,0.13,0.07,0.14,0.2,0.46,0.38,0.02,0.27,0.08,2.36,0.12,0.43,12.77,0.14,0.19,0.09,0,0.19,0.26,0.39,0.02,3.48,29.27,1.12
P418           ,surfsmelt_s,4.68,0.22,0.03,0.02,5.09,0.07,0.02,0.11,0.11,0.06,0.32,0,0.01,0.17,18.09,0.27,0.35,5.23,0.11,0.05,0.04,0.16,0.14,0.24,0.34,0.16,0.41,0,0.1,0.2,3.85,0.29,0.14,34.86,4.37,0.25,0.04,0.05,0.87,0.19,0.14,0.1,0.23,0.04,0.37,0.09,0.18,0.53,0.85,0.45,0.02,0.3,0.09,0.94,0.09,0.27,6.68,0.3,0.09,0.08,0.01,0.24,0.13,0.11,0.02,1.99,8.35,0.39
P419           ,surfsmelt_s,1.91,0.16,0.02,0.02,2.94,0.08,0.03,0.04,0.1,0.11,0.29,0,0.06,0.35,15.62,0.27,0.44,2.75,0.12,0.07,0.02,0.2,0.24,0.12,0.42,0.09,0.34,0,0.62,0.51,5,0.13,0.15,24.98,3.97,0.21,0.03,0.03,1.18,0.12,0.15,0.04,0.17,0.1,0.19,0.05,0.22,0.54,0.91,0.59,0.02,0.25,0.19,1.7,0.07,0.21,9.75,0.36,0.12,0.21,0.01,0.2,0.11,0.19,0,2.01,18.92,0.99
P420           ,surfsmelt_s,3.1,0.22,0.03,0.01,3.29,0.09,0.02,0.06,0.1,0.07,0.28,0,0,0.32,16.16,0.22,0.48,3.04,0.09,0.1,0.02,0.13,0.22,0.13,0.33,0.1,0.34,0,0.45,0.41,4.34,0.08,0.23,28.78,3.58,0.17,0,0,0.71,0.09,0.13,0.05,0.16,0.08,0.18,0.03,0.2,0.33,1.08,0.31,0.01,0.23,0.08,1.81,0.06,0.18,8.5,0.39,0.14,0.13,0.01,0.18,0.12,0.22,0,1.87,17.91,1.02
P421           ,surfsmelt_s,1.24,0.14,0.02,0.03,2.06,0.08,0.02,0.02,0.08,0.06,0.25,0.02,0,0.31,15.18,0.3,0.37,1.86,0.09,0.09,0.01,0.11,0.3,0.07,0.38,0.07,0.3,0,0.46,0.39,5.38,0.07,0.14,23.8,3.81,0.16,0,0,0.71,0.11,0.15,0.07,0.17,0.14,0.14,0.02,0.22,0.38,0.7,0.51,0.06,0.27,0.08,2.36,0.07,0.23,10.17,0.22,0.14,0.16,0.02,0.23,0.16,0.34,0,2.64,22.01,1.2
P422           ,surfsmelt_s,1.61,0.03,0.01,0.02,0.99,0.06,0.02,0.01,0.04,0.03,0.17,0.03,0,0.41,16.09,0.2,0.37,1.23,0.15,0.08,0,0.08,0.21,0.05,0.23,0.05,0.17,0,0.66,0.66,5.16,0.11,0.09,14.33,3.13,0.12,0,0,0.54,0.14,0.11,0.06,0.21,0.1,0.15,0.06,0.12,0.12,0.51,0.29,0.02,0.25,0.08,2.33,0.06,0.26,15.13,0.12,0.12,0.1,0.01,0.28,0.22,0.29,0.01,3.3,28.63,1.52
P423           ,surfsmelt_s,4.75,0.22,0.04,0.04,4.69,0.16,0.03,0.1,0.17,0.09,0.39,0.01,0.01,0.09,16.51,0.34,0.38,5.64,0.15,0.12,0.04,0.19,0.26,0.36,0.41,0.19,0.47,0,0.11,0.18,3.86,0.18,0.29,29.14,4.67,0.32,0.12,0.04,0.92,0.15,0.14,0.11,0.24,0.11,0.32,0.09,0.21,0.43,1.85,0.49,0,0.31,0.1,1.06,0.11,0.57,7.15,0.85,0.32,0.14,0,0.39,0.17,0.17,0.02,1.33,11.58,0.81
P424           ,surfsmelt_s,1.64,0.14,0.01,0.03,2.64,0.05,0.01,0.05,0.06,0.07,0.22,0.01,0,0.25,17.52,0.19,0.34,2.89,0.21,0.05,0.02,0.12,0.13,0.12,0.32,0.09,0.26,0,0.31,0.37,4.86,0.1,0.2,26.7,3.52,0.17,0,0.02,0.71,0.15,0.11,0.06,0.33,0.05,0.22,0.07,0.14,0.31,0.92,0.36,0.02,0.25,0.07,1.71,0.06,0.21,10.63,0.3,0.11,0.13,0.02,0.23,0.1,0.17,0.01,2.12,17.49,1
P425           ,surfsmelt_s,1.34,0.08,0.02,0.01,1.35,0.08,0.02,0,0.07,0.03,0.26,0,0,0.34,15.79,0.26,0.32,1.42,0.1,0.1,0,0.08,0.25,0.06,0.27,0.06,0.21,0,0.5,0.55,4.76,0.09,0.15,14.34,3.16,0.15,0,0,0.84,0.11,0.13,0.05,0.28,0.1,0.21,0.03,0.15,0.22,0.66,0.28,0.01,0.31,0.09,2.46,0.11,0.29,14.09,0.2,0.11,0.11,0.01,0.23,0.12,0.36,0.02,2.46,30.02,1.07
